method,episode,step,time_h,base_cum,decayed_cum,penalty_cum,base_add,decayed_add,penalty_add
S-Shape,0,1,0.0005555555555555556,0,0,0,0,0,0
S-Shape,0,2,0.0011111111111111111,0,0,0,0,0,0
S-Shape,0,3,0.0016666666666666666,0,0,0,0,0,0
S-Shape,0,4,0.0022222222222222222,0,0,0,0,0,0
S-Shape,0,5,0.002777777777777778,0,0,0,0,0,0
S-Shape,0,6,0.0033333333333333335,0,0,0,0,0,0
S-Shape,0,7,0.003888888888888889,0,0,0,0,0,0
S-Shape,0,8,0.0044444444444444444,0,0,0,0,0,0
S-Shape,0,9,0.005,0,0,0,0,0,0
S-Shape,0,10,0.005555555555555556,0,0,0,0,0,0
S-Shape,0,11,0.006111111111111111,279,279,0,279,279,0
S-Shape,0,12,0.006666666666666667,378,378,0,99,99,0
S-Shape,0,13,0.007222222222222223,378,378,0,0,0,0
S-Shape,0,14,0.007777777777777778,378,378,0,0,0,0
S-Shape,0,15,0.008333333333333333,378,378,0,0,0,0
S-Shape,0,16,0.008888888888888889,378,378,0,0,0,0
S-Shape,0,17,0.009444444444444445,378,378,0,0,0,0
S-Shape,0,18,0.01,378,378,0,0,0,0
S-Shape,0,19,0.010555555555555556,378,378,0,0,0,0
S-Shape,0,20,0.011111111111111112,378,378,0,0,0,0
S-Shape,0,21,0.011666666666666667,378,378,0,0,0,0
S-Shape,0,22,0.012222222222222223,378,378,0,0,0,0
S-Shape,0,23,0.012777777777777779,378,378,0,0,0,0
S-Shape,0,24,0.013333333333333334,378,378,0,0,0,0
S-Shape,0,25,0.01388888888888889,378,378,0,0,0,0
S-Shape,0,26,0.014444444444444446,471,471,0,93,93,0
S-Shape,0,27,0.015000000000000001,729,729,0,258,258,0
S-Shape,0,28,0.015555555555555557,729,729,0,0,0,0
S-Shape,0,29,0.01611111111111111,729,729,0,0,0,0
S-Shape,0,30,0.016666666666666666,729,729,0,0,0,0
S-Shape,0,31,0.017222222222222222,729,729,0,0,0,0
S-Shape,0,32,0.017777777777777778,729,729,0,0,0,0
S-Shape,0,33,0.018333333333333333,729,729,0,0,0,0
S-Shape,0,34,0.01888888888888889,729,729,0,0,0,0
S-Shape,0,35,0.019444444444444445,821,821,0,92,92,0
S-Shape,0,36,0.02,821,821,0,0,0,0
S-Shape,0,37,0.020555555555555556,821,821,0,0,0,0
S-Shape,0,38,0.021111111111111112,821,821,0,0,0,0
S-Shape,0,39,0.021666666666666667,821,821,0,0,0,0
S-Shape,0,40,0.022222222222222223,821,821,0,0,0,0
S-Shape,0,41,0.02277777777777778,821,821,0,0,0,0
S-Shape,0,42,0.023333333333333334,821,821,0,0,0,0
S-Shape,0,43,0.02388888888888889,1034,1034,0,213,213,0
S-Shape,0,44,0.024444444444444446,1034,1034,0,0,0,0
S-Shape,0,45,0.025,1125,1125,0,91,91,0
S-Shape,0,46,0.025555555555555557,1404,1404,0,279,279,0
S-Shape,0,47,0.026111111111111113,1404,1404,0,0,0,0
S-Shape,0,48,0.02666666666666667,1404,1404,0,0,0,0
S-Shape,0,49,0.027222222222222224,1662,1662,0,258,258,0
S-Shape,0,50,0.02777777777777778,1753,1753,0,91,91,0
S-Shape,0,51,0.028333333333333335,1753,1753,0,0,0,0
S-Shape,0,52,0.02888888888888889,1753,1753,0,0,0,0
S-Shape,0,53,0.029444444444444447,1975,1975,0,222,222,0
S-Shape,0,54,0.030000000000000002,1975,1975,0,0,0,0
